year,month,day,day_pillar,month_pillar,year_pillar,lunar_year,lunar_month,lunar_day,is_leap_month,solar_term_hanja,solar_term_korean,term_time,term_time_seoul_lmt,term_time_utc
1900,4,1,甲辰,己卯,庚子,1900,3,2,,,,,,
1900,4,2,乙巳,己卯,庚子,1900,3,3,,,,,,
1900,4,3,丙午,己卯,庚子,1900,3,4,,,,,,
1900,4,4,丁未,己卯,庚子,1900,3,5,,,,,,
1900,4,5,戊申,庚辰,庚子,1900,3,6,,清明,청명,190004051451,190004051419,190004050551
1900,4,6,己酉,庚辰,庚子,1900,3,7,,,,,,
1900,4,7,庚戌,庚辰,庚子,1900,3,8,,,,,,
1900,4,8,辛亥,庚辰,庚子,1900,3,9,,,,,,
1900,4,9,壬子,庚辰,庚子,1900,3,10,,,,,,
1900,4,10,癸丑,庚辰,庚子,1900,3,11,,,,,,
1900,4,11,甲寅,庚辰,庚子,1900,3,12,,,,,,
1900,4,12,乙卯,庚辰,庚子,1900,3,13,,,,,,
1900,4,13,丙辰,庚辰,庚子,1900,3,14,,,,,,
1900,4,14,丁巳,庚辰,庚子,1900,3,15,,,,,,
1900,4,15,戊午,庚辰,庚子,1900,3,16,,,,,,
1900,4,16,己未,庚辰,庚子,1900,3,17,,,,,,
1900,4,17,庚申,庚辰,庚子,1900,3,18,,,,,,
1900,4,18,辛酉,庚辰,庚子,1900,3,19,,,,,,
1900,4,19,壬戌,庚辰,庚子,1900,3,20,,,,,,
1900,4,20,癸亥,庚辰,庚子,1900,3,21,,穀雨,곡우,190004202226,190004202154,190004201326
1900,4,21,甲子,庚辰,庚子,1900,3,22,,,,,,
1900,4,22,乙丑,庚辰,庚子,1900,3,23,,,,,,
1900,4,23,丙寅,庚辰,庚子,1900,3,24,,,,,,
1900,4,24,丁卯,庚辰,庚子,1900,3,25,,,,,,
1900,4,25,戊辰,庚辰,庚子,1900,3,26,,,,,,
1900,4,26,己巳,庚辰,庚子,1900,3,27,,,,,,
1900,4,27,庚午,庚辰,庚子,1900,3,28,,,,,,
1900,4,28,辛未,庚辰,庚子,1900,3,29,,,,,,
1900,4,29,壬申,庚辰,庚子,1900,4,1,,,,,,
1900,4,30,癸酉,庚辰,庚子,1900,4,2,,,,,,
1900,5,1,甲戌,庚辰,庚子,1900,4,3,,,,,,
1900,5,2,乙亥,庚辰,庚子,1900,4,4,,,,,,
1900,5,3,丙子,庚辰,庚子,1900,4,5,,,,,,
1900,5,4,丁丑,庚辰,庚子,1900,4,6,,,,,,
1900,5,5,戊寅,庚辰,庚子,1900,4,7,,,,,,
1900,5,6,己卯,辛巳,庚子,1900,4,8,,立夏,입하,190005060854,190005060822,190005052354
1900,5,7,庚辰,辛巳,庚子,1900,4,9,,,,,,
1900,5,8,辛巳,辛巳,庚子,1900,4,10,,,,,,
1900,5,9,壬午,辛巳,庚子,1900,4,11,,,,,,
1900,5,10,癸未,辛巳,庚子,1900,4,12,,,,,,
1900,5,11,甲申,辛巳,庚子,1900,4,13,,,,,,
1900,5,12,乙酉,辛巳,庚子,1900,4,14,,,,,,
1900,5,13,丙戌,辛巳,庚子,1900,4,15,,,,,,
1900,5,14,丁亥,辛巳,庚子,1900,4,16,,,,,,
1900,5,15,戊子,辛巳,庚子,1900,4,17,,,,,,
1900,5,16,己丑,辛巳,庚子,1900,4,18,,,,,,
1900,5,17,庚寅,辛巳,庚子,1900,4,19,,,,,,
1900,5,18,辛卯,辛巳,庚子,1900,4,20,,,,,,
1900,5,19,壬辰,辛巳,庚子,1900,4,21,,,,,,
1900,5,20,癸巳,辛巳,庚子,1900,4,22,,,,,,
1900,5,21,甲午,辛巳,庚子,1900,4,23,,小滿,소만,190005212216,190005212144,190005211316
1900,5,22,乙未,辛巳,庚子,1900,4,24,,,,,,
1900,5,23,丙申,辛巳,庚子,1900,4,25,,,,,,
1900,5,24,丁酉,辛巳,庚子,1900,4,26,,,,,,
1900,5,25,戊戌,辛巳,庚子,1900,4,27,,,,,,
1900,5,26,己亥,辛巳,庚子,1900,4,28,,,,,,
1900,5,27,庚子,辛巳,庚子,1900,4,29,,,,,,
1900,5,28,辛丑,辛巳,庚子,1900,5,1,,,,,,
1900,5,29,壬寅,辛巳,庚子,1900,5,2,,,,,,
1900,5,30,癸卯,辛巳,庚子,1900,5,3,,,,,,
1900,5,31,甲辰,辛巳,庚子,1900,5,4,,,,,,
1900,6,1,乙巳,辛巳,庚子,1900,5,5,,,,,,
1900,6,2,丙午,辛巳,庚子,1900,5,6,,,,,,
1900,6,3,丁未,辛巳,庚子,1900,5,7,,,,,,
1900,6,4,戊申,辛巳,庚子,1900,5,8,,,,,,
1900,6,5,己酉,辛巳,庚子,1900,5,9,,,,,,
1900,6,6,庚戌,壬午,庚子,1900,5,10,,芒種,망종,190006061338,190006061306,190006060438
1900,6,7,辛亥,壬午,庚子,1900,5,11,,,,,,
1900,6,8,壬子,壬午,庚子,1900,5,12,,,,,,
1900,6,9,癸丑,壬午,庚子,1900,5,13,,,,,,
1900,6,10,甲寅,壬午,庚子,1900,5,14,,,,,,
1900,6,11,乙卯,壬午,庚子,1900,5,15,,,,,,
1900,6,12,丙辰,壬午,庚子,1900,5,16,,,,,,
1900,6,13,丁巳,壬午,庚子,1900,5,17,,,,,,
1900,6,14,戊午,壬午,庚子,1900,5,18,,,,,,
1900,6,15,己未,壬午,庚子,1900,5,19,,,,,,
1900,6,16,庚申,壬午,庚子,1900,5,20,,,,,,
